N,Time(ms),FLOPS
619,721.732,657243018.184
620,720.553,661514142.610
621,730.807,655393451.349
622,732.301,657221137.210
623,731.293,661306390.188
624,737.319,659065137.342
625,737.398,662167852.367
626,741.777,661423516.771
627,746.326,660547489.971
628,748.295,661966609.425
629,759.215,655567102.863
630,758.406,659401428.786
631,760.838,660428608.981
632,763.462,661292816.145
633,769.066,659595241.501
634,773.970,658527085.029
635,774.930,660828397.404
636,781.023,658775621.204
637,790.007,654360918.321
638,788.736,658506957.968
639,789.202,661217581.810
640,793.823,660459573.482
641,801.755,656995518.581
642,806.994,655789976.134
643,811.194,655447912.583
644,810.413,659145359.218
645,817.899,656159562.489
646,817.792,659302453.436
647,824.434,657032638.149
648,827.114,657945076.495
649,828.283,660062922.938
650,833.655,658845685.565
651,840.776,656285267.420
652,838.433,661156724.509
653,848.530,656299899.827
654,846.190,661142920.621
655,856.079,656508044.234
656,852.640,662179620.942
657,877.163,646615037.342
658,863.517,659837182.128
659,868.287,659208715.551
660,869.131,661571155.557
661,876.540,658965434.549
662,878.937,660155455.966
663,886.928,657176787.744
664,891.259,656946957.057
665,894.858,657265454.407
666,896.254,659206644.545
667,902.295,657747107.099
668,903.143,660089558.353
669,908.685,659014529.788
670,914.286,657918856.900
671,920.747,656231757.475
672,921.393,658707951.981
673,924.171,659664103.288
674,930.697,657962847.199
675,944.930,650941075.000
676,949.042,651005489.747
677,947.194,655174616.816
678,948.443,657215566.987
679,959.146,652761600.424
680,975.815,644450023.826
681,970.784,650651928.750
682,965.327,657216814.613
683,978.367,651313846.440
684,1018.380,628475625.994
685,985.778,652112595.331
686,986.713,654352088.196
687,991.210,654236141.685
688,989.918,657954844.745
689,992.914,658834035.979
690,999.042,657648026.810
691,1004.473,656940248.269
692,1012.114,654815342.936
693,1008.241,660184533.261
694,1016.215,657843830.292
695,1027.417,653488067.649
696,1033.314,652567440.294
697,1025.533,660356854.436
698,1038.034,655216287.713
699,1043.626,654510521.969
700,1044.148,656994985.385
701,1048.452,657106097.370
702,1053.025,657056400.370
703,1058.150,656672356.471
704,1065.138,655152034.760
705,1075.159,651815452.412
706,1071.978,656535518.453
707,1077.650,655859032.153
708,1077.948,658463881.375
709,1084.676,657156291.833
710,1091.627,655738635.999
711,1094.209,656959376.134
712,1092.244,660922152.926
713,1119.856,647345903.402
714,1111.427,655003601.676
715,1127.750,648239193.084
716,1120.582,655126882.281
717,1122.051,657014365.657
718,1130.425,654879769.998
719,1137.051,653787664.757
720,1138.931,655435667.306
721,1142.576,656070775.161
722,1157.499,650310795.949
723,1152.909,655616474.501
724,1162.007,653186123.664
725,1159.784,657153616.535
726,1173.082,652396296.252
727,1176.435,653228751.270
728,1182.462,652584779.891
729,1180.696,656257815.729
730,1203.927,646246823.935
731,1191.619,655608698.754
732,1204.517,651253851.959
733,1221.673,644743457.537
734,1250.608,632407443.420
735,1231.080,645068354.615
736,1222.379,652315290.102
737,1236.432,647533472.120
738,1228.741,654242467.697
739,1241.661,650070218.844
740,1242.443,652301956.709
741,1244.244,654001981.926
742,1252.580,652283268.135
743,1265.463,648256657.050
744,1260.649,653363123.280
745,1263.522,654509577.198
746,1264.403,656690843.030
747,1282.782,649888637.352
748,1277.702,655096402.761
749,1281.251,655905437.732
750,1285.929,656140424.549
751,1294.042,654638336.314
752,1306.794,650843220.890
753,1300.230,656741925.659
754,1321.218,648887714.215
755,1318.832,652651550.766
756,1319.309,655011397.633
757,1323.404,655579238.086
758,1337.224,651378545.405
759,1344.781,650285033.771
760,1340.285,655048739.634
761,1344.523,655564956.494
762,1350.972,655010952.114
763,1355.137,655572015.228
764,1380.637,645997092.646
765,1371.403,652903814.561
766,1371.573,655386327.961
767,1381.226,653358194.821
768,1393.838,649982038.085
769,1391.774,653492031.034
770,1399.327,652503667.835
771,1405.472,652185189.033
772,1403.202,655785336.680
773,1409.900,655209471.594
774,1414.743,655503966.445
775,1426.077,652818010.528
776,1435.934,650849657.436
777,1444.204,649627660.635
778,1437.265,655287580.231
779,1442.350,655498511.457
780,1464.123,648240619.128
781,1451.630,656337415.182
782,1461.823,654267675.362
783,1467.839,654089020.662
784,1467.891,656575050.872
785,1484.544,651697255.184
786,1487.770,652772479.617
787,1491.244,653740639.359
788,1495.622,654314889.725
789,1497.149,656139193.895
790,1515.087,650839192.733
791,1519.710,651326464.918
792,1514.603,656004362.859
793,1523.885,654481482.527
794,1531.279,653788348.172
795,1541.465,651925116.691
796,1544.122,653262288.861
797,1559.884,649101565.245
798,1563.484,650047703.718
799,1564.130,652225069.527
800,1575.672,649881447.408
801,1590.390,646284749.024
802,1592.120,648003426.877
803,1600.166,647159890.911
804,1593.592,652260382.833
805,1627.644,641000274.016
806,1605.092,652431905.461
807,1628.691,645374651.177
808,1610.394,655136708.160
809,1610.799,657406826.053
810,1635.796,649764396.049
811,1628.750,654995218.419
812,1628.680,657449379.866
813,1641.317,654800744.768
814,1643.944,656169728.409
815,1663.153,650984455.429
816,1663.913,653085222.605
817,1678.941,649622009.350
818,1683.696,650168952.115
819,1687.611,651042519.870
820,1677.748,657271533.031
821,1682.726,657727593.203
822,1709.727,649708693.844
823,1721.807,647507841.471
824,1719.042,650916294.075
825,1708.295,657398897.731
826,1734.704,649747710.272
827,1730.455,653711634.223
828,1727.566,657183056.393
829,1742.584,653882727.031
830,1764.240,648196390.514
831,1756.354,653463015.998
832,1770.687,650516288.875
833,1769.189,653417511.640
834,1794.079,646675763.999
835,1781.064,653747282.523
836,1778.127,657182592.694
837,1792.448,654274213.813
838,1806.155,651638947.931
839,1805.712,654135010.456
840,1823.987,649899368.800
841,1826.237,651419636.115
842,1833.523,651148295.385
843,1839.634,651300320.607
844,1840.668,653253692.681
845,1831.731,658776998.369
846,1859.073,651395330.899
847,1877.551,647274479.362
848,1871.567,651646659.724
849,1877.571,651863550.300
850,1881.758,652714110.954
851,1895.781,650175364.138
852,1899.297,651262238.607
853,1895.814,654758828.661
854,1914.456,650666156.861
855,1923.394,649920271.146
856,1920.352,653236506.640
857,1927.509,653094530.817
858,1934.498,653015626.793
859,1937.348,654337557.321
860,1949.133,652655308.796
861,1956.461,652481578.728
862,1969.738,650344287.413
863,1970.824,652250679.919
864,1966.786,655864485.511
865,1972.386,656275825.320
866,1994.570,651229985.410
867,1992.036,654319864.701
868,1998.267,654539190.208
869,2000.817,655966946.502
870,2010.247,655146357.637
871,2016.269,655444596.926
872,2041.471,649585370.549
873,2031.322,655079418.231
874,2039.540,654684511.213
875,2061.892,649812769.049
876,2043.338,657963955.058
877,2057.981,655522216.192
878,2069.956,653961873.586
879,2070.272,656098753.207
880,2096.309,650163692.471
881,2089.962,654363898.482
882,2090.775,656339365.068
883,2113.635,651451539.173
884,2108.488,655263016.911
885,2113.635,655888197.347
886,2122.546,655351126.430
887,2138.904,652543641.977
888,2133.625,656373141.485
889,2157.393,651337395.644
890,2155.914,653986197.965
891,2163.263,653963915.622
892,2171.091,653802432.049
893,2169.456,656498179.267
894,2192.679,651729673.153
895,2192.599,653942991.856
896,2189.250,657141154.277
897,2203.218,655163740.492
898,2209.792,655401768.130
899,2217.294,655368840.578
900,2221.034,656451004.352
901,2225.283,657383983.071
902,2233.436,657167528.418
903,2249.276,654712295.868
904,2257.483,654501729.581
905,2261.959,655376711.072
906,2270.016,655217774.676
907,2276.665,655469858.763
908,2282.034,656093039.806
909,2327.267,645469066.506
910,2344.165,642933411.257
911,2334.362,647764169.396
912,2316.693,654856321.489
913,2325.774,654447506.078
914,2331.193,655073984.865
915,2347.417,652684099.161
916,2362.562,650628678.528
917,2343.098,658184346.536
918,2360.030,655602371.156
919,2382.690,651491850.807
920,2388.137,652130091.364
921,2383.204,655613166.980
922,2393.509,654919156.769
923,2396.858,656134378.424
924,2397.844,657998622.096
925,2414.447,655597844.972
926,2439.811,650888758.187
927,2435.029,654282132.164
928,2444.023,653986277.543
929,2454.487,653305630.871
930,2466.448,652239171.472
931,2469.453,653549179.515
932,2469.091,655753528.728
933,2468.464,658033689.776
934,2500.403,651719346.041
935,2498.146,654405607.198
936,2515.155,652067849.496
937,2513.967,654469174.019
938,2544.284,648743357.267
939,2558.221,647274820.275
940,2532.578,655919778.186
941,2547.168,654246300.990
942,2546.969,656385600.296
943,2573.116,651787021.650
944,2571.690,654225341.313
945,2580.377,654097153.245
946,2589.204,653938844.525
947,2592.720,655125214.447
948,2622.646,649703690.090
949,2605.022,656171309.878
950,2622.846,653774563.966
951,2639.601,651678303.653
952,2645.106,652375676.438
953,2652.662,652569514.699
954,2651.371,654944678.810
955,2663.710,653962987.713
956,2667.508,655085432.546
957,2671.037,656275066.950
958,2685.308,654835804.310
959,2692.806,655059502.244
960,2696.255,656270271.172
961,2703.563,656543739.502
962,2735.921,650806165.821
963,2740.256,651805048.141
964,2752.803,650857576.078
965,2751.018,653308793.327
966,2765.426,651927548.233
967,2766.342,653737725.126
968,2774.767,653776862.706
969,2777.381,655187897.519
970,2802.656,651291489.216
971,2802.416,653363819.647
972,2817.719,651825145.091
973,2810.517,655514495.732
974,2829.225,653189777.413
975,2855.415,649194162.670
976,2823.476,658559999.093
977,2848.705,654735982.139
978,2873.163,651157871.656
979,2872.317,653349709.659
980,2874.953,654752964.657
981,2879.777,655659199.306
982,2909.104,651036310.837
983,2910.800,652646754.844
984,2904.035,656165579.272
985,2921.241,654291532.263
986,2926.867,655024813.905
987,2936.021,654971339.101
988,2940.225,656024808.986
989,2951.956,655403853.580
990,2963.274,654883078.649
991,2982.443,652647692.512
992,2981.888,654747252.747
993,2993.978,654077389.346
994,2995.087,655812524.978
995,3021.848,651968513.969
996,3027.120,652797336.082
997,3022.865,655687219.244
998,3035.416,654942842.760
999,3041.027,655701510.707
1000,3051.650,655383153.376
