N,Time(ms),FLOPS
573,675.061,557379309.425
574,681.952,554640866.219
575,687.796,552807445.812
576,684.063,558729169.682
577,689.817,556959405.176
578,697.670,553558421.603
579,700.074,554525775.847
580,703.177,554944203.238
581,696.276,563348272.811
582,703.545,560411538.708
583,708.915,559038211.915
584,715.955,556394477.307
585,719.141,556779894.346
586,720.688,558438758.520
587,712.280,567928351.210
588,710.593,572191034.812
589,714.363,572080214.121
590,715.208,574319638.483
591,744.550,554496195.017
592,756.293,548662193.092
593,747.925,557617025.771
594,755.683,554689159.343
595,748.784,562631880.489
596,752.146,562945853.598
597,752.887,565227379.408
598,762.489,560918759.484
599,772.787,556225192.712
600,775.447,557098035.069
601,785.079,553018998.088
602,791.263,551440438.893
603,773.787,566709513.083
604,775.695,568132742.895
605,791.619,559474002.014
606,786.164,566154176.482
607,800.989,558430997.180
608,805.502,558051282.306
609,807.246,559597765.737
610,816.841,555753200.439
611,810.433,562906818.947
612,808.423,567081658.983
613,811.983,567367536.020
614,817.153,566541502.020
615,832.755,558647801.574
616,835.847,559300675.841
617,853.043,550699350.443
618,844.683,558858250.965
619,833.648,569009123.755
620,841.312,566562702.065
621,851.634,562408407.837
622,848.862,566975192.670
623,863.987,559740753.044
624,865.873,561215383.780
625,873.238,559161706.202
626,878.384,558558389.042
627,881.187,559454197.577
628,878.578,563804584.226
629,886.224,561614645.959
630,886.408,564180377.433
631,898.292,559371765.528
632,907.222,556503188.856
633,912.594,555857559.879
634,918.345,554998620.344
635,1039.113,492820078.278
636,1052.241,488974400.351
637,1044.978,494699128.594
638,1061.339,489370638.411
639,934.311,558523059.238
640,944.397,555156359.031
641,947.823,555746634.129
642,951.503,556192230.608
643,950.129,559603394.907
644,952.174,561010874.063
645,952.962,563162277.195
646,978.646,550936980.277
647,969.583,558673208.998
648,976.673,557193230.488
649,980.645,557509494.261
650,997.955,550375517.934
651,974.239,566379401.769
652,971.576,570553014.895
653,993.288,560653258.672
654,984.741,568121493.875
655,1018.716,551697185.477
656,1023.378,551703116.541
657,1021.459,555271220.871
658,1023.769,556551940.916
659,1015.671,563550951.046
660,1019.876,563786185.772
661,1028.859,561407891.655
662,1036.759,559662424.922
663,1044.632,557965383.025
664,1045.593,559978775.680
665,1057.646,556102183.528
666,1063.021,555790141.493
667,1050.900,564736821.772
668,1067.167,558633525.962
669,1060.663,564587072.425
670,1065.672,564456981.135
671,1083.467,557675888.606
672,1090.651,556483142.637
673,1093.280,557626988.512
674,1112.204,550586086.725
675,1115.876,551220520.918
676,1119.979,551645657.642
677,1125.244,551504798.959
678,1142.147,545754184.006
679,1174.860,532909178.966
680,1170.753,537144897.344
681,1184.820,533112609.510
682,1187.319,534337558.819
683,1126.807,565512970.722
684,1127.932,567434036.804
685,1123.394,572228665.989
686,1135.619,568551346.887
687,1177.635,550667571.871
688,1166.414,558396370.414
689,1171.866,558225546.266
690,1189.943,552142413.544
691,1169.382,564296989.350
692,1183.059,560198414.449
693,1192.304,558267953.475
694,1206.141,554255902.088
695,1227.077,547157798.573
696,1223.680,551048535.565
697,1231.771,549791922.362
698,1219.031,557932311.812
699,1280.235,533545948.986
700,1289.025,532185178.720
701,1287.858,534953544.568
702,1297.483,533260794.939
703,1267.907,548035348.018
704,1269.828,549544763.543
705,1260.247,556085632.420
706,1262.777,557336435.491
707,1259.712,561069900.104
708,1265.255,560985591.047
709,1269.642,561419406.415
710,1267.752,564638825.259
711,1297.187,554161321.382
712,1305.665,552889336.851
713,1305.313,555371925.354
714,1321.118,551039867.748
715,1289.722,566828936.779
716,1299.523,564917582.836
717,1312.757,561568992.586
718,1303.380,567978996.148
719,1348.459,551288484.114
720,1358.767,549392206.316
721,1371.503,546561489.111
722,1355.955,555132062.642
723,1357.632,556753327.853
724,1353.815,560642959.341
725,1360.705,560118651.728
726,1366.570,560025722.795
727,1381.044,556449444.044
728,1397.216,552281611.433
729,1398.876,553902546.044
730,1415.159,549785571.798
731,1399.041,558408068.098
732,1392.282,563424892.371
733,1402.499,561615854.272
734,1409.002,561314893.804
735,1431.279,554839936.868
736,1437.988,554508460.432
737,1461.460,547829640.223
738,1474.390,545238738.733
739,1440.108,560490489.602
740,1455.180,556940034.910
741,1449.216,561502248.112
742,1470.601,555580321.243
743,1482.066,553514360.359
744,1486.113,554238855.323
745,1501.449,550792767.520
746,1514.351,548302125.465
747,1508.903,552497705.949
748,1495.158,559819085.341
749,1534.806,547547701.794
750,1555.125,542560887.388
751,1545.127,548258817.560
752,1562.875,544200922.019
753,1579.541,540609932.886
754,1576.800,543710126.839
755,1663.654,517377862.224
756,1680.670,514177341.179
757,1672.777,518656214.188
758,1703.511,511319870.550
759,1610.060,543141844.403
760,1644.686,533811317.175
761,1645.821,535551655.982
762,1634.856,541271803.755
763,1974.407,449952767.590
764,1919.238,464709164.783
765,1947.015,459880509.395
766,1978.632,454308932.636
767,1646.001,548259281.738
768,1663.824,544510515.535
769,1653.411,550082960.619
770,1668.785,547144179.748
771,1668.448,549389625.568
772,1672.289,550263319.319
773,1672.950,552186158.582
774,1685.093,550337368.917
775,1982.297,469641405.904
776,2021.180,462391846.347
777,2012.813,466111291.014
778,1967.884,478596250.592
779,1698.639,556597533.673
780,1697.490,559121997.773
781,1721.123,553568270.251
782,1729.149,553118057.495
783,1775.772,540664777.911
784,1800.600,535255252.694
785,1829.956,528686618.695
786,1801.718,539027368.323
787,1772.548,549991766.655
788,1792.611,545911937.392
789,1818.396,540222337.709
790,1799.163,548075966.436
791,1868.040,529874811.032
792,1855.580,535458549.887
793,1901.009,524644814.412
794,1869.772,535430185.071
795,1820.094,552125192.435
796,1822.062,553612704.727
797,1829.712,553378425.676
798,1834.458,554026957.281
799,1886.051,540899900.374
800,1888.913,542110727.175
801,1877.760,547378153.758
802,1907.555,540849000.946
803,1872.312,553093316.712
804,1926.678,539496962.129
805,1905.354,547572918.208
806,1923.638,544392048.816
807,1917.207,548253728.471
808,1914.747,551001371.983
