N,Time(ms),FLOPS
944,2637.690,637855384.067
945,2639.148,639531110.040
946,2653.339,638132207.004
947,2658.671,638874176.609
948,2672.211,637652784.155
949,2669.111,640415740.672
950,2689.954,637464432.477
951,2701.100,636840806.338
952,2708.897,637013078.017
953,2704.310,640106479.657
954,2735.751,634743925.160
955,2757.133,631804033.393
956,2742.617,637145336.735
957,2765.499,633858477.620
958,2781.478,632194762.641
959,2769.716,636869685.556
960,2766.640,639574357.343
961,2791.994,635748988.716
962,2802.914,635251119.371
963,2791.838,639762297.812
964,2811.753,637211977.012
965,2829.229,635248772.722
966,2826.654,637806180.735
967,2851.215,634277711.783
968,2843.550,637962569.324
969,2861.873,635844573.816
970,2864.422,637247584.329
971,2895.394,632382750.672
972,2888.733,635801265.122
973,2883.027,639027880.766
974,2919.236,633049485.550
975,2901.827,638810911.195
976,2917.332,637372898.251
977,2916.221,639577612.945
978,2923.543,639936783.553
979,2942.168,637838314.467
980,2964.877,634894466.111
981,2953.724,639244655.899
982,2971.856,637289402.986
983,2981.595,637150308.476
984,2979.382,639571497.713
985,3004.381,636185373.959
986,3001.186,638804296.701
987,3025.044,635696408.383
988,3035.281,635480057.365
989,3039.400,636547785.089
990,3051.326,635985142.197
991,3087.422,630456264.806
992,3081.466,633589004.714
993,3079.910,635828096.925
994,3115.997,630365038.221
995,3100.486,635432557.993
996,3113.705,634644538.259
997,3114.181,636460740.721
998,3115.744,638057550.299
999,3152.743,632467028.870
1000,3143.661,636200913.521
