N,Time(ms),FLOPS
699,1278.573,534239498.253
700,1275.407,537867519.937
701,1281.265,537706252.805
702,1300.942,531842938.425
703,1250.103,555840481.944
704,1247.653,559312026.661
705,1265.608,553730104.424
706,1259.400,558830897.253
707,1253.974,563637273.181
708,1265.187,561015742.337
709,1257.077,567031023.557
710,1280.075,559203171.689
711,1290.768,556917170.243
712,1289.782,559697883.828
713,1300.063,557614664.828
714,1321.450,550901424.950
715,1293.319,565252462.849
716,1291.838,568278214.451
717,1304.123,565286883.216
718,1319.663,560970841.798
719,1341.573,554118127.005
720,1336.350,558608149.063
721,1355.517,553007245.206
722,1365.917,551083335.225
723,1346.606,561312019.997
724,1356.033,559725941.773
725,1365.137,558300192.581
726,1375.097,556552993.716
727,1388.399,553501670.629
728,1390.609,554905587.408
729,1390.715,557152959.449
730,1398.443,556357320.248
731,1407.289,555135286.356
732,1389.853,564409571.372
733,1402.256,561713177.908
734,1406.246,562414974.336
735,1441.519,550898566.027
736,1433.358,556299620.890
737,1448.519,552723924.229
738,1464.472,548931317.226
739,1435.269,562380179.604
740,1444.539,561042657.900
741,1448.341,561841473.797
742,1466.646,557078515.197
743,1473.565,556707586.024
744,1486.468,554106491.361
745,1489.786,555104726.451
746,1499.679,553666399.276
747,1466.475,568482548.969
748,1475.636,567225239.829
749,1483.343,566544284.093
750,1490.990,565899167.667
751,1522.609,556367066.003
752,1541.997,551569176.853
753,1543.852,553107133.326
754,1554.374,551554598.829
755,1537.014,560006447.567
756,1542.254,560324325.306
757,1543.873,561960851.702
758,1565.826,556280853.684
759,1580.441,553320850.320
760,1585.611,553699488.714
761,1592.789,553382878.711
762,1634.012,541551381.508
763,1885.375,471200633.296
764,1905.076,468163731.001
765,1912.655,468142059.075
766,1950.171,460939164.822
767,1638.162,550882834.543
768,1633.817,554511101.304
769,1641.791,553976247.890
770,1683.410,542390742.600
771,1672.427,548082530.359
772,1680.348,547624239.741
773,1653.387,558719666.962
774,1710.015,542316674.415
775,1805.826,515536242.141
776,1859.845,502502709.634
777,1855.515,505625050.727
778,1853.194,508215493.899
779,1683.532,561592103.981
780,1710.100,554999122.858
781,1742.646,546731282.200
782,1708.131,559923996.462
783,1783.713,538257765.683
784,1802.057,534822487.857
785,1812.539,533766859.637
786,1808.018,537149139.002
787,1786.568,545675734.705
788,1783.577,548677037.212
789,1807.085,543603725.337
790,1798.689,548220398.301
791,1863.907,531049747.654
792,1865.704,532552953.738
793,1908.593,522560081.694
794,1912.848,523372671.535
795,1825.394,550522106.460
796,1895.033,532295042.883
797,1834.150,552039443.884
798,1830.820,555127857.463
799,1889.911,539795153.317
800,1884.576,543358293.855
801,1915.541,536581990.153
802,1900.788,542774478.795
803,1892.263,547261799.232
804,1906.576,545185152.860
805,1957.177,533074039.803
806,1921.833,544903345.920
807,1922.422,546766467.508
808,1920.676,549300467.127
809,1931.295,548310982.009
810,1941.344,547498021.989
811,1935.313,551240787.408
812,1946.247,550174081.707
813,1935.851,555174749.503
814,1962.516,549654773.770
815,1995.690,542512489.415
816,1991.298,545712892.797
817,2004.604,544086026.966
818,2055.102,532667898.722
819,2291.090,479556245.281
820,2383.246,462703388.572
821,2391.881,462721733.230
