N,Time(ms),FLOPS
849,1855.061,659773505.022
850,1856.329,661655342.345
851,1864.250,661172107.818
852,1905.176,649252570.891
853,1883.454,659055625.463
854,1890.222,659008163.062
855,1893.650,660128719.668
856,1902.428,659391068.676
857,1902.329,661739155.530
858,1914.429,659861203.523
859,1923.133,659174148.642
860,1952.787,651434078.576
861,1932.853,660451033.783
862,1936.963,661348645.276
863,1953.150,658152878.171
864,1960.788,657870758.083
865,1968.786,657475850.600
866,1966.207,660624131.640
867,1969.769,661716539.351
868,1978.949,660928636.362
869,1985.684,660966104.375
870,2011.787,654644850.573
871,2013.348,656395527.251
872,2023.410,655383583.159
873,2017.446,659585056.552
874,2028.834,658139230.711
875,2040.025,656778103.210
876,2029.142,662567110.631
877,2037.667,662057277.269
878,2060.974,656811926.788
879,2056.090,660624232.402
880,2080.112,655226257.048
881,2070.264,660589993.354
882,2081.188,659362794.711
883,2098.133,656264771.585
884,2101.509,657439110.658
885,2102.108,659484788.603
886,2111.339,658829734.117
887,2116.692,659391260.514
888,2115.026,662145119.729
889,2136.441,657725038.042
890,2130.323,661842359.116
891,2148.207,658547310.385
892,2151.041,659896569.150
893,2166.744,657319883.660
894,2182.047,654905218.815
895,2173.358,659732427.883
896,2181.550,659460600.032
897,2179.675,662240263.342
898,2194.754,659892445.349
899,2220.911,654301499.700
900,2206.054,660908572.501
901,2217.887,659576165.062
902,2228.960,658487194.028
903,2229.188,660612139.488
904,2244.038,658423131.872
905,2256.800,656874889.224
906,2261.259,657755185.054
907,2260.195,660246255.743
908,2271.927,659011765.783
909,2269.306,661955178.367
910,2282.445,660319087.645
911,2303.768,656366466.589
912,2308.333,657227989.203
913,2318.490,656503583.798
914,2315.931,659390926.586
915,2329.220,657783184.929
916,2326.131,660818583.304
917,2338.819,659388531.562
918,2345.295,659721384.303
919,2361.980,657204175.311
920,2376.361,655361706.407
921,2382.246,655876816.248
922,2371.637,660959032.095
923,2394.481,656785722.668
924,2390.750,659951081.460
925,2394.054,661182350.106
926,2406.696,659844680.009
927,2431.346,655273237.951
928,2429.851,657800623.989
929,2428.800,660214994.236
930,2439.290,659500920.350
931,2455.923,657149667.152
932,2455.488,659386295.514
933,2467.332,658335592.454
934,2470.565,659590420.815
935,2486.553,657456627.709
936,2483.389,660408704.395
937,2493.108,659944898.496
938,2500.913,659993907.825
939,2510.288,659634288.177
940,2539.488,654135006.742
941,2524.429,660139477.878
942,2539.332,658359669.393
943,2551.929,657198383.654
944,2559.770,657271851.768
945,2560.517,659170491.741
946,2577.577,656888648.525
947,2626.196,646774363.376
948,2585.762,658971237.105
949,2618.980,652674208.280
950,2608.063,657480283.260
951,2616.775,657362861.538
952,2619.153,658840020.419
953,2654.415,652138551.809
954,2669.515,650493189.961
955,2644.218,658783712.236
956,2648.912,659684290.003
957,2657.041,659732004.888
958,2667.321,659251670.121
959,2677.574,658785959.977
960,2679.744,660313821.022
961,2694.363,658785531.868
962,2712.166,656506370.185
963,2731.467,653902351.374
964,2719.235,658892184.015
965,2731.458,657987144.595
966,2740.776,657790856.312
967,2752.669,656984957.509
968,2770.447,654796306.878
969,2752.396,661135395.488
970,2779.200,656788284.398
971,2786.407,657117650.795
972,2775.370,661771257.886
973,2785.631,661370667.544
974,2809.983,657662643.511
975,2813.983,658752647.049
976,2825.246,658147415.128
977,2834.694,657972135.970
978,2863.571,653339031.580
979,2857.051,656840734.730
980,2856.192,659053733.082
981,2885.858,654277612.412
982,2874.885,658785424.808
983,2889.348,657492338.756
984,2884.389,660634820.061
985,2891.848,660941809.528
986,2915.601,657555856.237
987,2938.126,654502089.427
988,2934.841,657228294.139
989,2936.526,658847678.515
990,2947.362,658418612.983
991,2961.619,657236647.253
992,2951.215,661552267.795
993,2965.433,660373481.377
994,2974.686,660310220.306
995,2990.421,658820196.220
996,2984.465,662127340.076
997,2997.257,661289287.505
998,3016.307,659092056.611
999,3033.805,657262414.031
1000,3022.176,661774827.144
